165; 31Del And;00;39;20;+;30;51;39;+3.27;AND;Delta Andromedae
166; 54    Psc;00;39;22;+;21;15;02;+5.87;PSC;
167; 55    Psc;00;39;56;+;21;26;18;+5.36;PSC;
168; 18Alp Cas;00;40;30;+;56;32;14;+2.23;CAS;Schedar
169;          ;00;38;41;+;73;08;14;+6.85;   ;
170;          ;00;39;58;+;33;57;42;+6.69;   ;
171;          ;00;39;52;+;44;47;48;+6.01;   ;
172;          ;00;40;29;+;16;31;01;+6.49;   ;
173;          ;00;40;33;+;23;48;16;+6.14;   ;
174;          ;00;40;42;+;04;21;07;+5.91;   ;
175; 32    And;00;41;07;+;39;27;31;+5.33;AND;
176;          ;00;40;26;+;59;27;16;+5.89;   ;
177;          ;00;42;03;+;66;08;51;+5.83;   ;
178;          ;00;41;36;+;24;37;45;+6.04;   ;
179; 19Xi  Cas;00;42;04;+;50;30;45;+4.80;CAS;Xi Cassiopeiae
180;   Mu  Phe;00;41;20;+;46;05;06;+4.59;PHE;
181;          ;00;42;31;+;58;45;12;+6.17;   ;
183;   Xi  Phe;00;41;46;+;56;30;06;+5.70;PHE;
184; 20Pi  Cas;00;43;28;+;47;01;29;+4.94;CAS;Pi Cassiopeiae
185;   Lam1Scl;00;42;43;+;38;27;48;+6.06;SCL;Lambda1 Sculptoris
186;          ;00;42;42;+;60;15;45;+5.98;   ;
187;   Rho Tuc;00;42;28;+;65;28;05;+5.39;TUC;Rho Tucanae
188; 16Bet Cet;00;43;35;+;17;59;12;+2.04;CET;Diphda
189;          ;00;44;26;+;47;51;51;+5.67;   ;
190;          ;00;43;50;+;12;00;42;+6.02;   ;
191;   Eta Phe;00;43;21;+;57;27;47;+4.36;PHE;Eta Phoenicis
192; 21    Cas;00;45;39;+;74;59;17;+5.66;CAS;
193; 22Omi Cas;00;44;43;+;48;17;04;+4.54;CAS;Omicron Cassiopeiae
194; 17Phi1Cet;00;44;11;+;10;36;34;+4.76;CET;
195;   Lam2Scl;00;44;12;+;38;25;18;+5.90;SCL;Lambda2 Sculptoris
196;          ;00;45;17;+;55;13;18;+5.42;   ;
197;          ;00;44;44;+;22;00;22;+5.24;   ;
198;          ;00;44;57;+;42;40;36;+5.94;   ;
199;          ;00;44;32;+;62;29;52;+6.07;   ;
200;          ;00;46;39;+;69;19;30;+6.33;   ;
201;          ;00;45;24;+;04;37;45;+6.15;   ;
202;          ;00;45;00;+;53;42;54;+6.15;   ;
203; 18    Cet;00;45;29;+;12;52;51;+6.15;CET;
204;          ;00;46;15;+;55;18;19;+6.52;   ;
205;          ;00;46;11;+;44;51;41;+6.05;   ;
206;          ;00;45;42;+;16;25;27;+6.47;   ;
207;          ;00;46;42;+;59;34;28;+6.39;   ;
208; 23    Cas;00;47;46;+;74;50;51;+5.41;CAS;
209;          ;00;45;46;+;47;33;06;+5.80;   ;
210;          ;00;46;12;+;22;31;19;+5.50;   ;
211; 57    Psc;00;46;33;+;15;28;32;+5.38;PSC;
212;          ;00;48;09;+;72;40;30;+5.87;   ;
213; 58    Psc;00;47;01;+;11;58;26;+5.50;PSC;
214; 59    Psc;00;47;14;+;19;34;44;+6.13;PSC;
215; 34Zet And;00;47;20;+;24;16;02;+4.06;AND;
216; 60    Psc;00;47;24;+;06;44;27;+5.99;PSC;
217; 61    Psc;00;47;55;+;20;55;31;+6.54;PSC;
218;          ;00;47;43;+;18;03;41;+5.70;   ;
219; 24Eta Cas;00;49;06;+;57;48;57;+3.44;CAS;Achird
220;          ;00;48;01;+;21;43;21;+5.57;   ;
221; 62    Psc;00;48;17;+;07;18;00;+5.93;PSC;
222;          ;00;48;23;+;05;16;50;+5.75;   ;Wolf 25
223; 25Nu  Cas;00;48;50;+;50;58;06;+4.89;CAS;
224; 63Del Psc;00;48;41;+;07;35;06;+4.43;PSC;
225; 64    Psc;00;48;59;+;16;56;26;+5.07;PSC;
226; 35Nu  And;00;49;49;+;41;04;44;+4.53;AND;Nu Andromedae
227;          ;00;49;26;+;13;33;41;+5.59;   ;
228;          ;00;49;14;+;24;08;11;+5.90;   ;
229;          ;00;48;57;+;46;41;52;+6.27;   ;
230; 65    Psc;00;49;53;+;27;42;39;+7.00;PSC;
231; 65    Psc;00;49;53;+;27;42;37;+7.10;PSC;
232;          ;00;49;33;+;23;21;42;+6.28;   ;
233;          ;00;50;44;+;64;14;51;+5.39;   ;
234;          ;00;50;18;+;45;00;08;+6.15;   ;
235; 19Phi2Cet;00;50;08;+;10;38;40;+5.19;CET;
236;   Lam Hyi;00;48;35;+;74;55;24;+5.07;HYI;
237;          ;00;51;16;+;61;48;21;+6.07;   ;
238;          ;00;50;57;+;51;30;29;+6.39;   ;
239;          ;00;50;04;+;43;23;41;+6.48;   ;
240;          ;00;54;53;+;83;42;26;+5.62;   ;
241;          ;00;51;34;+;51;34;16;+6.21;   ;
242;   Rho Phe;00;50;41;+;50;59;13;+5.22;PHE;
243;          ;00;51;18;+;03;23;06;+6.37;   ;
244;          ;00;53;04;+;61;07;27;+4.82;   ;
245;          ;00;51;52;+;43;42;33;+6.90;   ;
246;          ;00;52;53;+;38;32;55;+6.69;   ;
247;          ;00;52;41;+;24;00;21;+5.46;   ;
248; 20    Cet;00;53;00;+;01;08;39;+4.77;CET;
249;          ;00;53;28;+;37;25;05;+6.06;   ;
250;          ;00;53;48;+;52;41;21;+6.27;   ;
251;          ;00;53;12;+;24;46;37;+6.46;   ;
252;   Lam1Tuc;00;52;24;+;69;30;16;+6.22;TUC;
253; 26Ups1Cas;00;55;00;+;58;58;22;+4.83;CAS;
254; 66    Psc;00;54;35;+;19;11;18;+5.74;PSC;
255; 21    Cet;00;54;18;+;08;44;27;+6.16;CET;
256;          ;00;55;05;+;48;40;43;+6.27;   ;
257;          ;00;53;38;+;62;52;17;+5.70;   ;
258; 36    And;00;54;58;+;23;37;42;+5.47;AND;
259;          ;00;55;15;+;24;33;25;+6.20;   ;
260;          ;00;56;13;+;57;59;48;+6.21;   ;
261;          ;00;56;56;+;68;46;34;+6.37;   ;
262; 67    Psc;00;55;58;+;27;12;34;+6.09;PSC;
263;          ;00;55;42;+;07;20;50;+5.85;   ;
264; 27Gam Cas;00;56;42;+;60;43;00;+2.47;CAS;Cih
265; 28Ups2Cas;00;56;40;+;59;10;52;+4.63;CAS;
266;          ;00;56;47;+;60;21;46;+5.55;   ;
267; 22Phi3Cet;00;56;01;+;11;16;00;+5.31;CET;
268;          ;00;55;55;+;27;46;32;+6.10;   ;
269; 37Mu  And;00;56;45;+;38;29;58;+3.87;AND;Mu Andromedae
270;   Lam2Tuc;00;55;00;+;69;31;37;+5.45;TUC;
271; 38Eta And;00;57;12;+;23;25;03;+4.42;AND;
272;          ;00;57;40;+;45;50;23;+6.12;   ;
273;          ;00;58;31;+;66;21;08;+5.97;   ;
274; 68    Psc;00;57;50;+;28;59;32;+5.42;PSC;
275;          ;00;58;14;+;33;57;03;+5.98;   ;
276;          ;00;57;54;+;13;41;45;+6.32;   ;
277;          ;00;58;19;+;21;24;16;+6.37;   ;
278;          ;01;00;31;+;70;58;59;+6.39;   ;
279; 23Phi4Cet;00;58;44;+;11;22;48;+5.61;CET;
280;   Alp Scl;00;58;36;+;29;21;27;+4.31;SCL;
281;          ;00;58;22;+;60;41;47;+6.23;   ;
282;          ;01;00;03;+;44;42;40;+6.84;   ;
283;          ;01;00;04;+;44;42;48;+6.04;   ;
284;          ;00;59;50;+;06;28;59;+6.11;   ;
285;          ;01;08;45;+;86;15;25;+4.25;   ;
286;          ;01;33;50;+;89;00;56;+6.46;   ;
287;          ;01;02;18;+;51;02;06;+6.47;   ;
288;   Xi  Scl;01;01;18;+;38;55;00;+5.59;SCL;
289;          ;01;03;01;+;47;22;34;+6.45;   ;
290; 39    And;01;02;54;+;41;20;42;+5.98;AND;
291; 69Sig Psc;01;02;49;+;31;48;16;+5.50;PSC;
292;          ;01;03;37;+;61;04;30;+5.92;   ;
293;   Sig Scl;01;02;26;+;31;33;07;+5.50;SCL;
294; 71Eps Psc;01;02;57;+;07;53;24;+4.28;PSC;
295;   Ome Phe;01;02;02;+;57;00;09;+6.11;PHE;
296; 25    Cet;01;03;03;+;04;50;12;+5.43;CET;
297;          ;01;04;20;+;61;34;49;+5.84;   ;
298;          ;01;04;02;+;52;30;08;+5.99;   ;
299;          ;01;02;49;+;46;23;51;+5.36;   ;
300;          ;01;03;18;+;29;31;33;+6.29;   ;
301; 26    Cet;01;03;49;+;01;22;00;+6.04;CET;
302;          ;01;04;47;+;51;00;36;+6.54;   ;
303;          ;01;04;28;+;29;39;31;+6.19;   ;
304;          ;01;02;43;+;65;27;22;+6.21;   ;
305;          ;01;04;36;+;39;59;28;+6.72;   ;
306;          ;01;16;13;+;87;08;43;+6.25;   ;
307; 73    Psc;01;04;53;+;05;39;23;+6.00;PSC;73 Piscium
308; 72    Psc;01;05;05;+;14;56;46;+5.68;PSC;
309;          ;01;06;23;+;62;45;42;+6.54;   ;
310; 74Psi1Psc;01;05;41;+;21;28;24;+5.34;PSC;
311; 74Psi1Psc;01;05;42;+;21;27;55;+5.56;PSC;
312;          ;01;09;12;+;80;00;42;+6.29;   ;
313; 77    Psc;01;05;49;+;04;54;30;+6.35;PSC;77 Piscium A
314; 77    Psc;01;05;51;+;04;54;34;+7.25;PSC;77 Piscium B
315; 27    Cet;01;05;37;+;09;58;45;+6.12;CET;
316;          ;01;07;00;+;56;56;06;+6.43;   ;
317; 28    Cet;01;06;05;+;09;50;22;+5.58;CET;
318;          ;01;07;09;+;53;29;54;+6.38;   ;
319; 75    Psc;01;06;34;+;12;57;22;+6.12;PSC;
320;          ;01;06;08;+;23;59;33;+6.14;   ;
321; 30Mu  Cas;01;08;16;+;54;55;13;+5.17;CAS;Mu Cassiopeiae
322;   Bet Phe;01;06;05;+;46;43;07;+3.31;PHE;Beta Phoenicis
323;          ;01;06;26;+;35;39;39;+6.61;   ;
324; 41    And;01;08;01;+;43;56;31;+5.03;AND;41 Andromedae
325;          ;01;07;13;+;23;59;47;+6.37;   ;
326;          ;01;08;33;+;58;15;49;+5.79;   ;
327; 78    Psc;01;08;01;+;32;00;44;+6.25;PSC;
328; 79Psi2Psc;01;07;57;+;20;44;21;+5.55;PSC;
329; 30    Cet;01;07;46;+;09;47;08;+5.82;CET;
330; 80    Psc;01;08;22;+;05;38;59;+5.52;PSC;e Piscium
331;   Ups Phe;01;07;48;+;41;29;13;+5.21;PHE;
332;   Iot Tuc;01;07;19;+;61;46;31;+5.37;TUC;
333;          ;01;12;17;+;79;40;26;+5.64;   ;
334; 31Eta Cet;01;08;35;+;10;10;56;+3.45;CET;Dheneb
335; 42Phi And;01;09;30;+;47;14;31;+4.25;AND;Phi Andromedae
336; 31    Cas;01;10;39;+;68;46;43;+5.29;CAS;
337; 43Bet And;01;09;44;+;35;37;14;+2.06;AND;Mirach
338;   Zet Phe;01;08;23;+;55;14;45;+3.92;PHE;Wurren
339; 81Psi3Psc;01;09;49;+;19;39;31;+5.55;PSC;
340; 44    And;01;10;19;+;42;04;53;+5.65;AND;
341;          ;01;10;19;+;25;27;28;+5.80;   ;
342;          ;01;11;26;+;64;12;10;+5.55;   ;
343; 33The Cas;01;11;06;+;55;08;59;+4.33;CAS;Marfak
344;          ;01;10;11;+;15;40;27;+6.06;   ;
